Date,DAYOPEN,DAYHIGH,DAYLOW,LTP,VOLUME(QUANTITY MN),Dividends,Stock Splits,Symbol,PREVCLOSE,CHNG,%CHNG,TURNOVER(INR MN),52W HIGH,52W LOW
2022-05-23 00:00:00+05:30,419.0467694836679,428.488117444584,416.9597286054218,418.8480224609375,16345308,0.0,0.0,TATAMOTORS,415.4193115234375,3.4287109375,0.8253614703000045,6846.199932314941,526.876953125,275.24017333984375
2022-05-24 00:00:00+05:30,421.28287561929056,424.86065562724787,413.43165553435114,423.1214599609375,14525617,0.0,0.0,TATAMOTORS,418.8480224609375,4.2734375,1.0202835565252188,6146.1002718734135,526.876953125,275.24017333984375
2022-05-25 00:00:00+05:30,425.80479684149583,426.3513890547718,410.8974056158045,414.4254760742187,13540006,0.0,0.0,TATAMOTORS,423.1214599609375,-8.69598388671875,-2.055198024586501,5611.323432597778,526.876953125,275.24017333984375
2022-05-26 00:00:00+05:30,419.394619315244,420.04060022228975,402.49957540917967,418.0529479980469,17712299,0.0,0.0,TATAMOTORS,414.4254760742187,3.627471923828125,0.8753013830593965,7404.678812772858,526.876953125,275.24017333984375
2022-05-27 00:00:00+05:30,423.41959206614894,430.5751520213669,422.5748641558674,426.94769287109375,16867431,0.0,0.0,TATAMOTORS,418.0529479980469,8.894744873046875,2.1276598851034607,7201.510750112366,526.876953125,275.24017333984375
2022-05-30 00:00:00+05:30,434.3020156570906,442.45140199559495,433.3081895343055,439.6686706542969,18500266,0.0,0.0,TATAMOTORS,426.94769287109375,12.720977783203123,2.979516693873764,8133.987358970886,526.876953125,275.24017333984375
2022-05-31 00:00:00+05:30,441.2091086578982,446.7248313741215,437.6810078099469,440.8115539550781,22308219,0.0,0.0,TATAMOTORS,439.6686706542969,1.14288330078125,0.2599419465299763,9833.7206833602,526.876953125,275.24017333984375
2022-06-01 00:00:00+05:30,442.3520156030225,443.2464530523172,436.8859718994625,441.8551025390625,11930669,0.0,0.0,TATAMOTORS,440.8115539550781,1.043548583984375,0.2367334918110427,5271.6269743546145,526.876953125,275.24017333984375
2022-06-02 00:00:00+05:30,442.2526093867388,442.8489111056776,432.9603293933417,436.438720703125,12742438,0.0,0.0,TATAMOTORS,441.8551025390625,-5.4163818359375,-1.2258276083750017,5561.293339358886,526.876953125,275.24017333984375
2022-06-03 00:00:00+05:30,442.1532293945615,442.3022972449321,427.84213950483235,429.2334899902344,12780122,0.0,0.0,TATAMOTORS,436.438720703125,-7.205230712890625,-1.6509146349990744,5485.656368560974,526.876953125,275.24017333984375
2022-06-06 00:00:00+05:30,425.2581867726474,431.270852940871,421.9785727384643,429.68072509765625,11896105,0.0,0.0,TATAMOTORS,429.2334899902344,0.447235107421875,0.1041938986242779,5111.527022237854,526.876953125,275.24017333984375
2022-06-07 00:00:00+05:30,429.8297950984646,435.49461609038826,426.4507923704602,433.15911865234375,11153869,0.0,0.0,TATAMOTORS,429.68072509765625,3.4783935546875,0.8095298093478462,4831.400065603699,526.876953125,275.24017333984375
2022-06-08 00:00:00+05:30,435.991514900174,437.681001044381,429.3328680100192,432.9603271484375,12844475,0.0,0.0,TATAMOTORS,433.15911865234375,-0.19879150390625,-0.0458934131468213,5561.148098049926,526.876953125,275.24017333984375
2022-06-09 00:00:00+05:30,429.233494927822,432.96034287578726,423.4693155666355,425.8544921875,13043367,0.0,0.0,TATAMOTORS,432.9603271484375,-7.1058349609375,-1.641220803702255,5554.576430200195,526.876953125,275.24017333984375
2022-06-10 00:00:00+05:30,420.3884473229014,426.2023361708599,419.3946212062989,425.4072570800781,11914234,0.0,0.0,TATAMOTORS,425.8544921875,-0.447235107421875,-0.1050206386516081,5068.401606150208,526.876953125,275.24017333984375
2022-06-13 00:00:00+05:30,412.3384738676776,415.568408935848,403.0959025735032,404.1891174316406,17442641,0.0,0.0,TATAMOTORS,425.4072570800781,-21.2181396484375,-4.9877239504739865,7050.12567146695,526.876953125,275.24017333984375
2022-06-14 00:00:00+05:30,400.51190065046166,409.3072673137054,395.2446346842429,402.6486206054687,19626627,0.0,0.0,TATAMOTORS,404.1891174316406,-1.540496826171875,-0.3811326826315196,7902.634288688049,526.876953125,275.24017333984375
2022-06-15 00:00:00+05:30,407.46870290124815,413.829183905093,404.9344584660896,411.54339599609375,15192826,0.0,0.0,TATAMOTORS,402.6486206054687,8.894775390625,2.2090664006869796,6252.507206817749,526.876953125,275.24017333984375
2022-06-16 00:00:00+05:30,417.4069712879264,418.3014087319958,387.6915763025478,390.52398681640625,22261032,0.0,0.0,TATAMOTORS,411.54339599609375,-21.0194091796875,-5.107458747773713,8693.466967287597,526.876953125,275.24017333984375
2022-06-17 00:00:00+05:30,385.55484943245466,392.01471911271017,380.2875528802853,386.5486755371094,24824899,0.0,0.0,TATAMOTORS,390.52398681640625,-3.975311279296875,-1.0179429211772733,9596.031828792513,526.876953125,275.24017333984375
2022-06-20 00:00:00+05:30,388.13876015505673,390.523966990372,374.3245838248189,380.3372497558594,17049013,0.0,0.0,TATAMOTORS,386.5486755371094,-6.21142578125,-1.606893562012397,6484.374715471893,526.876953125,275.24017333984375
