Date,DAYOPEN,DAYHIGH,DAYLOW,LTP,VOLUME(QUANTITY MN),Dividends,Stock Splits,Symbol,PREVCLOSE,CHNG,%CHNG,TURNOVER(INR MN),52W HIGH,52W LOW
2020-08-05 00:00:00+05:30,920.442494118404,922.548322182824,905.9390242127498,909.7453002929688,5060070,0.0,0.0,DRREDDY,916.4483642578124,-6.70306396484375,-0.7314175273008687,4603.374901653442,916.4483642578124,489.69677734375
2020-08-06 00:00:00+05:30,911.5447250300252,921.0258398380372,903.141204373319,906.2059936523438,4587005,0.0,0.0,DRREDDY,909.7453002929688,-3.539306640625,-0.3890436850275812,4156.771423913269,916.4483642578124,489.69677734375
2020-08-07 00:00:00+05:30,907.5802191914094,930.7146410724542,901.757059294166,904.3176879882812,8326715,0.0,0.0,DRREDDY,906.2059936523438,-1.8883056640625,-0.2083748813503134,7529.995657337341,916.4483642578124,489.69677734375
2020-08-10 00:00:00+05:30,910.5461377265356,940.91741967529,910.5461377265356,927.5311279296876,8697180,0.0,0.0,DRREDDY,904.3176879882812,23.21343994140625,2.566956308578481,8066.905175207519,927.5311279296876,489.69677734375
2020-08-11 00:00:00+05:30,932.306360289863,936.953024936768,902.6369795970676,908.746826171875,6457605,0.0,0.0,DRREDDY,927.5311279296876,-18.7843017578125,-2.02519367729904,5868.328048421631,927.5311279296876,489.69677734375
2020-08-12 00:00:00+05:30,904.614230229447,905.5830873631936,886.6306946486771,893.373291015625,5353620,0.0,0.0,DRREDDY,908.746826171875,-15.37353515625,-1.691729171810317,4782.7811182470705,927.5311279296876,489.69677734375
2020-08-13 00:00:00+05:30,899.7006483269573,907.6691601293464,888.1531701581946,890.2293701171875,4550210,0.0,0.0,DRREDDY,893.373291015625,-3.1439208984375,-0.3519157031058491,4050.730582200927,927.5311279296876,489.69677734375
2020-08-14 00:00:00+05:30,894.955136039457,906.7893015154864,883.8526218552424,893.6204833984375,5753920,0.0,0.0,DRREDDY,890.2293701171875,3.39111328125,0.3809257922824544,5141.820771835937,927.5311279296876,489.69677734375
2020-08-17 00:00:00+05:30,893.6303614748902,903.625592883367,889.82402490557,893.571044921875,3388330,0.0,0.0,DRREDDY,893.6204833984375,-0.0494384765625,-0.0055323795146778,3027.713578640137,927.5311279296876,489.69677734375
2020-08-18 00:00:00+05:30,897.298181162959,901.5889461567508,888.2718072143837,893.8181762695312,3252160,0.0,0.0,DRREDDY,893.571044921875,0.24713134765625,0.0276565975431597,2906.839720136719,927.5311279296876,489.69677734375
2020-08-19 00:00:00+05:30,897.6936904527375,901.4406501026284,885.0587216602202,887.6588745117188,4036070,0.0,0.0,DRREDDY,893.8181762695312,-6.1593017578125,-0.6891000788906714,3582.6533536505126,927.5311279296876,489.69677734375
2020-08-20 00:00:00+05:30,886.8185584099006,895.0441290913092,882.0927850651829,885.0390014648438,4033835,0.0,0.0,DRREDDY,887.6588745117188,-2.619873046875,-0.2951441282346366,3570.101300473938,927.5311279296876,489.69677734375
2020-08-21 00:00:00+05:30,893.7390683382349,893.7390683382349,884.5643728316635,887.7577514648438,2438510,0.0,0.0,DRREDDY,885.0390014648438,2.71875,0.3071898521421258,2164.806154524536,927.5311279296876,489.69677734375
2020-08-24 00:00:00+05:30,887.7577679772528,891.1883525359426,874.9547457868131,884.3568115234375,3676190,0.0,0.0,DRREDDY,887.7577514648438,-3.40093994140625,-0.3830932408975909,3251.0636669543455,927.5311279296876,489.69677734375
2020-08-25 00:00:00+05:30,887.8071799329603,888.2817123454143,873.9660880409097,875.4885864257812,3010780,0.0,0.0,DRREDDY,884.3568115234375,-8.86822509765625,-1.0027881260256706,2635.9035262390134,927.5311279296876,491.7497863769531
2020-08-26 00:00:00+05:30,876.1411423174756,880.4714316748706,870.0115037453406,876.8826293945312,3460010,0.0,0.0,DRREDDY,875.4885864257812,1.39404296875,0.1592302847077925,3034.022666531372,927.5311279296876,491.7497863769531
2020-08-27 00:00:00+05:30,878.3952736791279,883.5164707619233,873.3729777500953,877.3275756835938,4518315,0.0,0.0,DRREDDY,876.8826293945312,0.4449462890625,0.0507418295387748,3964.042345124817,927.5311279296876,491.7497863769531
2020-08-28 00:00:00+05:30,881.8753371947214,883.0617286405885,862.2605049378617,864.9298706054688,5814245,0.0,0.0,DRREDDY,877.3275756835938,-12.397705078125,-1.4131215547926883,5028.914175518494,927.5311279296876,493.5376281738281
