Date,DAYOPEN,DAYHIGH,DAYLOW,LTP,VOLUME(QUANTITY MN),Dividends,Stock Splits,Symbol,PREVCLOSE,CHNG,%CHNG,TURNOVER(INR MN),52W HIGH,52W LOW
2020-01-03 00:00:00+05:30,91.583693308436,91.84860366308332,90.14560110156282,90.33482360839844,7392962,0.0,0.0,NTPC,91.8864517211914,-1.5516281127929688,-1.688636446100925,667.8419182135925,106.38508605957033,80.55823516845703
2020-01-06 00:00:00+05:30,90.0699047596192,90.1834394079361,88.17767986971124,89.99421691894531,6596841,0.0,0.0,NTPC,90.33482360839844,-0.340606689453125,-0.3770491554061758,593.6775399337921,106.38508605957033,80.55823516845703
2020-01-07 00:00:00+05:30,90.25912850229072,91.99997773503092,90.25912850229072,91.24308776855467,8959942,0.0,0.0,NTPC,89.99421691894531,1.248870849609375,1.3877234475346232,817.5327743071595,106.38508605957033,80.55823516845703
2020-01-08 00:00:00+05:30,90.59972556977624,91.39446233470544,88.97241678143595,90.78894805908205,6372683,0.0,0.0,NTPC,91.24308776855467,-0.4541397094726562,-0.497725055759421,578.569185883995,106.38508605957033,80.55823516845703
2020-01-09 00:00:00+05:30,91.20524829476476,91.73506900405944,89.99422540593939,90.33482360839844,8309627,0.0,0.0,NTPC,90.78894805908205,-0.4541244506835937,-0.5001979430228298,750.6486892965851,106.38508605957033,80.55823516845703
2020-01-10 00:00:00+05:30,90.78895502972746,92.1892061777894,90.10775863561496,91.05387115478516,5588344,0.0,0.0,NTPC,90.33482360839844,0.7190475463867188,0.7959804620904456,508.8403545446167,106.38508605957033,80.55823516845703
2020-01-13 00:00:00+05:30,91.12955164540944,92.34057441727091,90.90248234929264,92.15135192871094,3534313,0.0,0.0,NTPC,91.05387115478516,1.0974807739257812,1.2053092965812968,325.69172108921816,106.38508605957033,80.55823516845703
2020-01-14 00:00:00+05:30,92.15136403689982,93.85436665770496,91.8486068605008,93.47592163085938,8631692,0.0,0.0,NTPC,92.15135192871094,1.3245697021484375,1.437384991565979,806.8553649337158,106.38508605957033,80.55823516845703
2020-01-15 00:00:00+05:30,93.09746651736832,94.61124646074016,92.60548688085004,93.7408218383789,6537916,0.0,0.0,NTPC,93.47592163085938,0.2649002075195312,0.2833887089828695,612.8696189502868,106.38508605957033,80.55823516845703
2020-01-16 00:00:00+05:30,93.40022481648666,93.40022481648666,91.5458408981469,91.92428588867188,8806007,0.0,0.0,NTPC,93.7408218383789,-1.8165359497070312,-1.9378280604782516,809.4859050056458,106.38508605957033,80.55823516845703
2020-01-17 00:00:00+05:30,91.92428413716488,92.11350662882197,91.28092882045324,91.7350616455078,6811534,0.0,0.0,NTPC,91.92428588867188,-0.1892242431640625,-0.2058479338019869,624.8564913904725,106.38508605957033,80.55823516845703
2020-01-20 00:00:00+05:30,91.58369836141895,92.15136591324595,89.16165245013572,89.50225067138672,10655638,0.0,0.0,NTPC,91.7350616455078,-2.2328109741210938,-2.433977733344045,953.7035833395538,106.38508605957033,80.55823516845703
2020-01-21 00:00:00+05:30,89.61576724153146,90.48619180016664,88.51827339816992,88.6696548461914,5150830,0.0,0.0,NTPC,89.50225067138672,-0.8325958251953125,-0.930251271839232,456.7223182714081,106.38508605957033,80.55823516845703
2020-01-22 00:00:00+05:30,87.00450432208179,87.61001863980448,84.39323609795422,84.88521575927734,19388739,0.0,0.0,NTPC,88.6696548461914,-3.7844390869140625,-4.268020546012776,1645.8172933153153,106.38508605957033,80.55823516845703
2020-01-23 00:00:00+05:30,85.22581080086981,86.62605611236134,84.99874727108356,85.90701293945312,22793170,0.0,0.0,NTPC,84.88521575927734,1.0217971801757812,1.203739863339048,1958.0931501211548,106.38508605957033,80.55823516845703
2020-01-24 00:00:00+05:30,86.28545903224571,88.02630832256578,85.94486084591074,86.8531265258789,9898052,0.0,0.0,NTPC,85.90701293945312,0.9461135864257812,1.1013228769723349,859.6767627157287,106.38508605957033,80.55823516845703
2020-01-27 00:00:00+05:30,87.04235045493509,87.26941976596686,85.2258132905183,85.64210510253906,5597365,0.0,0.0,NTPC,86.8531265258789,-1.2110214233398438,-1.394332560934356,479.37012162727353,106.38508605957033,80.55823516845703
2020-01-28 00:00:00+05:30,86.09624293693756,86.09624293693756,83.93910745563794,84.80953216552734,12128081,0.0,0.0,NTPC,85.64210510253906,-0.8325729370117188,-0.9721537507921848,1028.576875675621,106.38508605957033,80.55823516845703
2020-01-29 00:00:00+05:30,84.84737659784321,86.96667112631236,84.58246622543783,85.6799545288086,18501507,0.0,0.0,NTPC,84.80953216552734,0.87042236328125,1.0263260992672376,1585.208278474434,106.38508605957033,80.55823516845703
2020-01-30 00:00:00+05:30,85.86915688524046,86.8909628704068,84.80951564443514,86.02053833007812,18545239,0.0,0.0,NTPC,85.6799545288086,0.3405838012695312,0.3975069818168672,1595.2714422399597,106.38508605957033,80.55823516845703
2020-01-31 00:00:00+05:30,86.09624124706967,87.23157629648159,84.39323867295181,85.4150390625,64518347,0.0,0.0,NTPC,86.02053833007812,-0.605499267578125,-0.7039008117511453,5510.83712925293,106.38508605957033,80.55823516845703
