Date,DAYOPEN,DAYHIGH,DAYLOW,LTP,VOLUME(QUANTITY MN),Dividends,Stock Splits,Symbol,PREVCLOSE,CHNG,%CHNG,TURNOVER(INR MN),52W HIGH,52W LOW
2023-10-13 00:00:00+05:30,224.0,225.8999938964844,222.0,224.5500030517578,10137210,0.0,0.0,JIOFIN,225.1499938964844,-0.5999908447265625,-0.2664849482529483,2276.31053643631,255.0500030517578,211.1499938964844
2023-10-16 00:00:00+05:30,224.8999938964844,225.9499969482422,224.0,224.8000030517578,10850720,0.0,0.0,JIOFIN,224.5500030517578,0.25,0.1113337771553608,2439.2418891137695,255.0500030517578,211.1499938964844
2023-10-17 00:00:00+05:30,231.5,233.0,220.5,220.9499969482422,34190040,0.0,0.0,JIOFIN,224.8000030517578,-3.850006103515625,-1.7126361437945363,7554.289233660278,255.0500030517578,211.1499938964844
2023-10-18 00:00:00+05:30,221.6000061035156,222.8999938964844,215.5500030517578,216.0,27712060,0.0,0.0,JIOFIN,220.9499969482422,-4.9499969482421875,-2.2403245153253972,5985.80496,255.0500030517578,211.1499938964844
2023-10-19 00:00:00+05:30,216.0,216.0,209.0500030517578,214.1999969482422,42127110,0.0,0.0,JIOFIN,216.0,-1.8000030517578125,-0.8333347461841725,9023.626833438262,255.0500030517578,211.1499938964844
2023-10-20 00:00:00+05:30,215.5,217.0,213.0,214.1999969482422,11101460,0.0,0.0,JIOFIN,214.1999969482422,0.0,0.0,2377.932698121033,255.0500030517578,211.1499938964844
2023-10-23 00:00:00+05:30,214.0,214.1999969482422,204.25,206.6000061035156,17817780,0.0,0.0,JIOFIN,214.1999969482422,-7.599990844726563,-3.5480816774068265,3681.1534567510985,255.0500030517578,206.6000061035156
2023-10-25 00:00:00+05:30,206.6000061035156,211.8000030517578,206.5,210.1499938964844,22079260,0.0,0.0,JIOFIN,206.6000061035156,3.54998779296875,1.7182902652916918,4639.956354238891,255.0500030517578,206.6000061035156
2023-10-26 00:00:00+05:30,208.0,217.0,206.4499969482422,215.8500061035156,23734030,0.0,0.0,JIOFIN,210.1499938964844,5.70001220703125,2.7123542101262017,5122.990520361023,255.0500030517578,206.6000061035156
2023-10-27 00:00:00+05:30,219.6000061035156,225.6000061035156,216.4499969482422,222.8999938964844,20929440,0.0,0.0,JIOFIN,215.8500061035156,7.04998779296875,3.266151305822884,4665.172048256836,255.0500030517578,206.6000061035156
2023-10-30 00:00:00+05:30,224.5,226.1999969482422,218.1499938964844,219.0,13508660,0.0,0.0,JIOFIN,222.8999938964844,-3.899993896484375,-1.7496608359242698,2958.39654,255.0500030517578,206.6000061035156
2023-10-31 00:00:00+05:30,222.0,223.1999969482422,215.5500030517578,219.0,17538200,0.0,0.0,JIOFIN,219.0,0.0,0.0,3840.8658,255.0500030517578,206.6000061035156
2023-11-01 00:00:00+05:30,216.0,222.0500030517578,215.3000030517578,217.6499938964844,15862620,0.0,0.0,JIOFIN,219.0,-1.350006103515625,-0.6164411431578196,3452.499146182251,255.0500030517578,206.6000061035156
2023-11-02 00:00:00+05:30,218.5,219.6000061035156,216.6999969482422,217.3500061035156,13261560,0.0,0.0,JIOFIN,217.6499938964844,-0.29998779296875,-0.1378303704944857,2882.4001469421387,255.0500030517578,206.6000061035156
2023-11-03 00:00:00+05:30,219.0,220.6499938964844,217.6499938964844,219.0500030517578,8569115,0.0,0.0,JIOFIN,217.3500061035156,1.6999969482421875,0.782147182196325,1877.0646669008636,255.0500030517578,206.6000061035156
2023-11-06 00:00:00+05:30,220.3999938964844,220.6999969482422,216.75,217.1499938964844,11494090,0.0,0.0,JIOFIN,219.0500030517578,-1.9000091552734375,-0.8673860437356385,2495.941573345642,255.0500030517578,206.6000061035156
2023-11-07 00:00:00+05:30,217.8999938964844,218.8000030517578,216.5,217.1999969482422,7558170,0.0,0.0,JIOFIN,217.1499938964844,0.0500030517578125,0.0230269643855707,1641.6345009342956,255.0500030517578,206.6000061035156
2023-11-08 00:00:00+05:30,217.8000030517578,217.8999938964844,213.8000030517578,214.1499938964844,17101600,0.0,0.0,JIOFIN,217.1999969482422,-3.0500030517578125,-1.404237152215345,3662.307535620117,255.0500030517578,206.6000061035156
2023-11-09 00:00:00+05:30,214.8500061035156,217.6999969482422,214.8500061035156,215.1499938964844,17250090,0.0,0.0,JIOFIN,214.1499938964844,1.0,0.4669624228349869,3711.356758213806,255.0500030517578,206.6000061035156
2023-11-10 00:00:00+05:30,214.8500061035156,222.9499969482422,214.3500061035156,221.9499969482422,18467210,0.0,0.0,JIOFIN,215.1499938964844,6.8000030517578125,3.1605871460212613,4098.797203142548,255.0500030517578,206.6000061035156
