Symbol,Total_Records,Latest_Close,Latest_MACD,Latest_BB_Position,Latest_Aroon_Up,Latest_PSAR,EMA_12,EMA_26
ABB,2464,5974.5,148.7281422347069,0.7217877038273839,92.85714285714286,6118.0,5908.582091520656,5759.853949285949
ADANIENSOL,437,854.8499755859375,-2.809330036684514,0.2318900939610342,14.285714285714285,833.7961743333948,874.7407320476522,877.5500620843367
ADANIENT,2465,2477.699951171875,37.809284806693995,0.5045582825264688,14.285714285714285,2424.9241414983444,2503.9620046413456,2466.1527198346516
ADANIGREEN,1716,997.7999877929688,20.902971906691732,0.6154020396466905,21.428571428571427,923.0922499112124,997.6374164233248,976.734444516633
ADANIPORTS,2465,1430.5,47.21511769683434,0.7650538597078861,92.85714285714286,1377.930649619375,1411.5754659080824,1364.360348211248
ADANIPOWER,2465,546.25,3.506322218011519,0.4918793773272225,21.428571428571427,530.4268835390498,550.1168653303412,546.6105431123297
AMBUJACEM,2465,550.4000244140625,4.194220655824324,0.4471301775651756,57.14285714285714,574.7810177734375,557.2349851509973,553.040764495173
APOLLOHOSP,2464,6915.5,21.79527181764024,0.3778103856998616,71.42857142857143,7119.08,6961.072073930706,6939.276802113066
ASIANPAINT,2465,2257.5,-25.003910507688033,0.0343258958896616,21.428571428571427,2373.993466210937,2296.4890836954605,2321.492994203149
AXISBANK,2465,1178.0,10.216160840449447,0.2629955756425065,57.14285714285714,1170.2473002161305,1193.5228533054683,1183.306692465019
BAJAJ-AUTO,2465,8582.0,179.53902679999192,0.5760163918379564,71.42857142857143,8995.16,8627.843876908213,8448.304850108221
BAJAJFINSV,2465,1988.0,5.424101497622132,0.079886423789739,14.285714285714285,2056.846960083867,2018.838874898636,2013.414773401014
BAJAJHFL,176,122.9000015258789,0.2285266638156713,0.5255816566454271,21.428571428571427,117.65791699740645,123.32953078787192,123.10100412405625
BAJAJHLDNG,2465,13265.0,387.4898440824163,0.6070163326858037,21.428571428571427,12817.68930008231,13288.17819897592,12900.688354893504
BAJFINANCE,2465,9010.0,63.61663044980378,0.4081053274237653,57.14285714285714,8593.523076136222,9111.68686527847,9048.070234828669
BANKBARODA,2465,253.3300018310547,4.219277702943003,0.8995342749866746,100.0,227.92371399294973,245.0685255190229,240.8492478160799
BEL,2465,386.5,21.05825675542377,0.7183605573830935,71.42857142857143,383.6499938964844,377.3838206913273,356.3255639359035
BHARTIARTL,2464,1854.0999755859375,11.970272322200572,0.5590347318431736,0.0,1803.46954,1846.842188443087,1834.8719161208865
BOSCHLTD,2465,31360.0,636.2004126362845,0.4864613763514941,57.14285714285714,32427.7397344,31463.011163074498,30826.81075043821
BPCL,2465,311.0,4.34798958625646,0.2828908938338854,57.14285714285714,323.95001220703125,316.1206978743156,311.77270828805916
BRITANNIA,2465,5582.0,62.84137544550504,0.8732631068228486,92.85714285714286,5416.24,5514.431514117602,5451.590138672097
CANBK,2465,115.77999877929688,4.784156428359211,0.8825575590305687,100.0,108.37162912170592,110.5494657486297,105.76530932027048
CGPOWER,2465,684.0499877929688,15.661285065833567,0.5842986489813164,57.14285714285714,708.2320239257813,683.937819446693,668.2765343808594
CHOLAFIN,2465,1567.800048828125,17.376998450718474,0.2679366365272094,71.42857142857143,1671.2892009257812,1605.409385861202,1588.0323874104836
CIPLA,2465,1467.199951171875,-7.94237465891888,0.2369307517431019,7.142857142857142,1452.6968331054688,1477.2031260304311,1485.14550068935
COALINDIA,2465,391.7000122070313,1.4161581025136345,0.280594668990363,28.57142857142857,415.9787201171875,398.079998479559,396.66384037704535
DABUR,2465,485.8500061035156,0.930185730933033,0.8031290737807902,92.85714285714286,466.1907365922087,481.9406338982928,481.01044816735975
DIVISLAB,2465,6529.0,169.80518114862025,0.635424290681947,57.14285714285714,6759.12,6521.497892907101,6351.692711758481
DLF,2465,808.2000122070312,33.71580717561278,0.8194281091670251,100.0,755.8636894387726,775.1495217134192,741.4337145378064
DMART,2025,4051.800048828125,-16.591161907467267,0.4364446529484203,21.428571428571427,3929.249180726464,4067.123937894137,4083.715099801604
DRREDDY,2465,1248.5999755859375,19.9208563960201,0.7336148147413464,85.71428571428571,1201.9970535826303,1236.261855203784,1216.3409988077638
EICHERMOT,2465,5325.0,-26.393349665174355,0.1662448413598344,21.428571428571427,5583.13883392,5381.877996004673,5408.2713456698475
GAIL,2465,193.25,2.375315150905749,0.7675596721072929,71.42857142857143,183.900131775926,191.32669220083736,188.9513770499316
GODREJCP,2465,1240.5999755859375,7.365368117285016,0.1945808914961491,21.428571428571427,1225.5460009765625,1258.6906374930468,1251.3252693757618
GRASIM,2465,2547.199951171875,-34.216895610094525,0.1315676636783767,14.285714285714285,2710.5811062914486,2611.132564566566,2645.3494601766606
HAL,1770,4984.2001953125,173.0669332307507,0.6426536377701644,14.285714285714285,5140.7041883281245,4949.123913096565,4776.056979865814
HAVELLS,2465,1501.5,-9.478045237204697,-0.089976044568871,7.142857142857142,1611.3995377448057,1544.5174029807272,1553.995448217932
HCLTECH,2465,1630.800048828125,22.45002728405302,0.4438683557342341,7.142857142857142,1675.0372931076834,1640.5329332029812,1618.0829059189282
HDFCBANK,2465,1929.800048828125,13.627566260056485,0.5135514678164967,100.0,1894.0033918085555,1929.9718771535772,1916.3443108935207
HDFCLIFE,1860,759.2999877929688,16.54783190324565,0.5526543769487978,78.57142857142857,790.5279760742187,765.6694488193941,749.1216169161485
HEROMOTOCO,2465,4240.2998046875,111.53886231459092,0.5557658350862502,21.428571428571427,4449.428095703125,4261.875666811506,4150.336804496915
