Date,DAYOPEN,DAYHIGH,DAYLOW,LTP,VOLUME(QUANTITY MN),Dividends,Stock Splits,Symbol,PREVCLOSE,CHNG,%CHNG,TURNOVER(INR MN),52W HIGH,52W LOW,open,high,low,close,volume,aroon_up,aroon_down,aroon_indicator,bb_bbm,bb_bbh,bb_bbl,bb_bbw,bb_bbp,bb_bbhi,bb_bbli,coppock_curve,ema_9,ema_12,ema_21,ema_26,ema_50,ema_200,macd,macd_signal,macd_diff,psar,psar_up,psar_down,psar_up_indicator,psar_down_indicator,macd_buy,macd_sell,aroon_buy,aroon_sell,psar_buy,psar_sell,ema_buy,ema_sell
2015-06-09 00:00:00+05:30,126.92143272749584,130.04091642607824,125.61775581010473,126.87487030029295,4550384,0.0,0.0,PNB,128.78382873535156,-1.9089584350585935,-1.4822966934625532,577.3293798165283,128.78382873535156,126.87487030029295,126.92143272749584,130.04091642607824,125.61775581010473,126.87487030029295,4550384,,,,,,,,,0.0,0.0,,,,,,,,,,,126.87487030029295,,,0.0,0.0,0,0,0,0,0,0,0,0
2015-06-10 00:00:00+05:30,127.29391525242264,129.71501959759692,127.29391525242264,128.08543395996094,2636899,0.0,0.0,PNB,126.87487030029295,1.2105636596679688,0.9541398204410014,337.74835272358706,128.78382873535156,126.87487030029295,127.29391525242264,129.71501959759692,127.29391525242264,128.08543395996094,2636899,,,,,,,,,0.0,0.0,,,,,,,,,,,128.08543395996094,,,0.0,0.0,0,0,0,0,0,0,0,0
2015-06-11 00:00:00+05:30,129.90123836394903,129.90123836394903,122.91730081750016,123.33633422851562,3884771,0.0,0.0,PNB,128.08543395996094,-4.7490997314453125,-3.707759410746006,479.1334144572449,128.78382873535156,123.33633422851562,129.90123836394903,129.90123836394903,122.91730081750016,123.33633422851562,3884771,,,,,,,,,0.0,0.0,,,,,,,,,,,130.04091642607824,,130.04091642607824,0.0,1.0,0,0,0,0,1,0,0,0
2015-06-12 00:00:00+05:30,122.68450753036892,124.91936194605071,122.21891167636372,122.82418060302734,3774860,0.0,0.0,PNB,123.33633422851562,-0.5121536254882812,-0.4152495926621031,463.6440863911438,128.78382873535156,122.82418060302734,122.68450753036892,124.91936194605071,122.21891167636372,122.82418060302734,3774860,,,,,,,,,0.0,0.0,,,,,,,,,,,129.90123836394903,,129.90123836394903,0.0,0.0,0,0,0,0,0,0,0,0
2015-06-15 00:00:00+05:30,122.91731889021791,124.0347462201753,121.05493527066916,121.42740631103516,2757526,0.0,0.0,PNB,122.82418060302734,-1.3967742919921875,-1.1372144191269775,334.8392300152435,128.78382873535156,121.42740631103516,122.91731889021791,124.0347462201753,121.05493527066916,121.42740631103516,2757526,,,,,,,,,0.0,0.0,,,,,,,,,,,129.5939452964456,,129.5939452964456,0.0,0.0,0,0,0,0,0,0,0,0
2015-06-16 00:00:00+05:30,121.52052614766622,124.03474108825996,120.58933437641974,123.56914520263672,3190856,0.0,0.0,PNB,121.42740631103516,2.1417388916015625,1.7638018933843636,394.2913483847046,128.78382873535156,121.42740631103516,121.52052614766622,124.03474108825996,120.58933437641974,123.56914520263672,3190856,,,,,,,,,0.0,0.0,,,,,,,,,,,129.08160469489903,,129.08160469489903,0.0,0.0,0,0,0,0,0,0,0,0
2015-06-17 00:00:00+05:30,123.98816555774604,125.24527999964975,123.01042566832906,123.33633422851562,2298938,0.0,0.0,PNB,123.56914520263672,-0.2328109741210937,-0.1884054257552038,283.54258553863525,128.78382873535156,121.42740631103516,123.98816555774604,125.24527999964975,123.01042566832906,123.33633422851562,2298938,,,,,,,,,0.0,0.0,,,,,,,,,,,128.40222306942067,,128.40222306942067,0.0,0.0,0,0,0,0,0,0,0,0
2015-06-18 00:00:00+05:30,124.31408929280909,125.710876812953,121.66018732099266,122.4517059326172,3308221,0.0,0.0,PNB,123.33633422851562,-0.8846282958984375,-0.7172487340668097,405.0973050521088,128.78382873535156,121.42740631103516,124.31408929280909,125.710876812953,121.66018732099266,122.4517059326172,3308221,,,,,,,,,0.0,0.0,,,,,,,,,,,127.7771919739806,,127.7771919739806,0.0,0.0,0,0,0,0,0,0,0,0
2015-06-19 00:00:00+05:30,123.80194898595845,125.33842400631552,122.45172369572424,124.59346771240234,2459195,0.0,0.0,PNB,122.4517059326172,2.141761779785156,1.7490665103218137,306.39963283100127,128.78382873535156,121.42740631103516,123.80194898595845,125.33842400631552,122.45172369572424,124.59346771240234,2459195,,,,,,,,,0.0,0.0,,124.07297588669924,,,,,,,,,127.20216336617572,,127.20216336617572,0.0,0.0,0,0,0,0,0,0,0,0
2015-06-22 00:00:00+05:30,126.16877282855754,133.5680012400795,125.11856850459434,131.80174255371094,5652399,3.3,0.0,PNB,124.59346771240234,7.208274841308594,5.785435604013664,744.9960378088532,131.80174255371094,121.42740631103516,126.16877282855754,133.5680012400795,125.11856850459434,131.80174255371094,5652399,,,,,,,,,0.0,0.0,,125.6187292201016,,,,,,,,,120.58933437641974,120.58933437641974,,1.0,0.0,0,0,0,0,0,1,0,0
2015-06-23 00:00:00+05:30,133.9021656132739,138.2939715248248,133.9021656132739,136.71864318847656,6896968,0.0,0.0,PNB,131.80174255371094,4.916900634765625,3.730527790830932,942.9441070743408,136.71864318847656,121.42740631103516,133.9021656132739,138.2939715248248,133.9021656132739,136.71864318847656,6896968,,,,,,,,,0.0,0.0,,127.8387120137766,,,,,,,,,120.84890771369294,120.84890771369294,,0.0,0.0,0,0,0,0,0,0,0,0
2015-06-24 00:00:00+05:30,137.3869578395747,137.3869578395747,130.89474327496347,131.80174255371094,4147880,0.0,0.0,PNB,136.71864318847656,-4.916900634765625,-3.5963644168025577,546.6978119036866,136.71864318847656,121.42740631103516,137.3869578395747,137.3869578395747,130.89474327496347,131.80174255371094,4147880,,,,,,,,,0.0,0.0,,128.63131812176346,127.9626846753026,,,,,,,,121.5467102661382,121.5467102661382,,0.0,0.0,0,0,0,0,0,0,0,0
